fragmento,quien,A1_REP,A2_REP,texto
75,"A1_solo (tú marcaste, A2 no)","se limpie su nombre y se dignifique que ellos nunca fueron guerrilleros y nunca fueron subversivos, su hermano fue un campesino, una persona de bie | se limpie se dignifique, se honre el nombre de su hermano | u hermano José Joaquín Contreras Romero no era ningún subversivo, no era ningún guerrillero, su hermano era un campesino. Su hermano era un humilde trabajador de la tierra, su hermano era una persona de bien. Su hermano, sé que era un ser querido para ustedes. Integrante de la familia Contreras que fue vilmente asesinado.",se limpie su nombre y se dignifique que ellos nunca fueron guerrilleros y nunca fueron subversivos,"ternacional, que su hermano José Joaquín Contreras Romero no era ningún subversivo, no era ningún guerrillero, su hermano era un campesino. Su hermano"
76,"A1_solo (tú marcaste, A2 no)","Observaciones a audiencia restaurativa, proceso restaurativo e instrucción del proceso -BAPOP- | delitos de homicidio en persona protegida y desaparición forzada que también constituyen crímenes de lesa humanidad y crímenes de guerra”, reconocimiento que para el Ministerio Público se ajusta a lo imputado por la Sala | desde la perspectiva restaurativa, el Ministe",proceso restaurativo e instrucción del proceso -BAPOP- ,"002 y diciembre de 2003 mientras se desempeñó como comandante de 'Albardón’ 1, ‘Albardón 3’ y ‘Zarpazo’, el título de coautor en los delitos de homici"
78,"A1_solo (tú marcaste, A2 no)","Álvarez Mejía relató detalladamente ante esta Sala los hechos de muertes ilegítimamente presentadas como bajas en combate en los que participó directamente o de los que tuvo conocimiento mientras estuvo en la unidad militar. Alusiones que, luego de contrastar los informes recibidos con la confesión del compareciente y otros elementos del acervo prob | El compareciente en su versión voluntaria entregó información que fue debidamente contrastada por esta Sala",Álvarez Mejía,", que fue contrastado y considerado en las determinaciones formuladas por la Sala en el Auto 128 de 2021 como se deja evidencia en dicha providencia. "
80,"A1_solo (tú marcaste, A2 no)","educe los efectos políticos, psicológicos y jurídicos de elementos que reconoció indirectamente en privado (versiones voluntarias) y no adujo en público” | para las víctimas “el compareciente disminuyó el aporte que había realizado | dvierten que el compareciente maneja “un discurso de negación implicatoria”,","para las víctimas “el compareciente disminuyó el aporte que había realizado | dvierten que el compareciente maneja “un discurso de negación implicatoria”,","as a través de sus observaciones también advierten que el compareciente maneja “un discurso de negación implicatoria”, en tanto “reduce los efectos po"
81,"A1_solo (tú marcaste, A2 no)","olicito a la JEP que acorde a lo consignado en el acto legislativo 001 de 2017, pueda imponerme una sanción propia, por las conductas cometidas, confesas y cuya responsabilidad acepto hoy en día”","pueda imponerme una sanción propia, por las conductas cometidas, confesas y cuya responsabilidad acepto hoy en día",ra Cabrales. 424 JEP. Sala de Reconocimiento. Auto 128 de 2021. 425 En dicho escrito el compareciente indicó: “Solicito a la JEP que acorde a lo consi
84,"A2_solo (A2 marcó, tú no)", Pueblos Indíge,"La Corte Constitucional y la Corte Interamericana de Derechos Humanos, además de pronunciarse sobre la importancia que tiene la protección de los territorios de los Pueblos Indíge","rea el gobierno propio, la educación, la medicina tradicional, la autonomía alimentaria, entre otros2614. 1025. La Constitución Política con base en e"
86,"A1_solo (tú marcaste, A2 no)",derivar su propia responsabilidad penal | en lo que respecta al reconocimien | la primera etapa del primer patrón de macrocriminal encontrado por la Sala | u participación y aporte a la configuración y definición del primer patrón de macrocriminalidad que tuvo lugar en el Batallón La Popa. | xistencia y alcance de la alianza paramilitar que caracterizó 560 Audiencia pública de reconocimiento, Batallón La Popa,"xistencia y alcance de la alianza paramilitar que caracterizó 560 Audiencia pública de reconocimiento, 19 de julio de 2022. 561 Oficio UBPD del 27 de "
87,"A1_solo (tú marcaste, A2 no)","58 familias del Consejo Comunitario Unión del Río Rosario, 13 veredas y 809 familias del Consejo Comunitario Unión del Río Caunapí y 190 familias de la vereda Pueblo Nuevo fueron afectadas directamente por este derrame. Ver ECOPETROL | Medios y métodos ilícitos de guerra utilizados por las FARC-EP. Informe No. 14 de la FGN a la JEP. | La FGN registra 1955 familias (10.000 habitantes aproximadamente) ubicadas en 27 veredas como afectadas directa e indirectamente","58 familias del Consejo Comunitario Unión del Río Rosario, 13 veredas y 809 familias del Consejo Comunitario Unión del Río Caunapí y 190 familias de la vereda Pueblo Nuevo","58 familias del Consejo Comunitario Unión del Río Rosario, 13 veredas y 809 familias del Consejo Comunitario Unión del Río Caunapí y 190 familias de l"
89,"A1_solo (tú marcaste, A2 no)","econoció que el ego fue para él, un elemento relevante en el desarrollo de la práctica: (…) por un premio, un arroz chino, un permiso de un mes, por el ego de llegar al batallón, darle el gusto a un coronel de que mantuviera el batallón en los primeros lugares, porque competían los batallones como es el Rondón, el Nariño, el Cartagena, el Córdoba, y muchos batallones más. Ellos los premiaban con una medalla, algunos con ir al Sinaí",(nada),soldados tenían más facilidad para intercambiar material del Ejército por armas que les colocaban a las víctimas760. 594. El señor Mercado Sierra alud
92,"A1_solo (tú marcaste, A2 no)","las víctimas echan de menos en su reconocimiento de la audiencia la lectura al completo de los nombres de la totalidad de las víctimas | el señor GÓMEZ NARANJO tenía conocimiento real de 10 hechos | las víctimas manifiestan que el señor Gómez Naranjo “si bien se refirió a los daños y se dirigió a las víctimas, algunas de ellas valoraron positivamente el reconocimiento, mientras que otras manifestaron no sentir de manera genuina ciertos de los reconocimientos de las afecta",el señor GÓMEZ NARANJO tenía conocimiento real de 10 hechos,"s señaló que 6 no estaban identificadas; en ese sentido, es preciso mencionar que haciendo un análisis integral del Auto 128 el señor GÓMEZ NARANJO te"
96,"A1_solo (tú marcaste, A2 no)","Por temor a las represalias, las familias que habitaban el caserío se ocultaron en el monte para proteger sus vidas. | e desplazaron forzosamente, abandonando sus predios. Por la masacre, otros asesinatos que se presentaron antes y durante ese año1207 y los enfrentamientos entre las - Jurisdicción Especial para la Paz.",(nada),"as víctimas y, otros dos se dirigieron a la segunda vivienda para ejecutar a las víctimas restantes1206. 518. Por temor a las represalias, las familia"
97,"A1_solo (tú marcaste, A2 no)","a incidencia directa que tuvo en ellos a la hora de comete | La versión voluntaria de NÉSTOR GUTIÉRREZ fue de gran utilidad para comprender cómo opero esta promoción al interior de la brigada | u versión, además, fue valiosa para comprender cómo esa presión era percibida", La versión voluntaria de NÉSTOR GUTIÉRREZ ,"es formas utilizadas por los superiores de la BRIM15 para presionar por resultadas, determinadas por la Sala, fue la de la promoción de competencia en"
100,"A1_solo (tú marcaste, A2 no)","El reconocimiento responde a las preguntas y necesidades de las víctimas • Reconoce a las víctimas sin lugar a distinciones que generen revictimizaciones c. Reconocimiento de verdad • No reconoce los hechos a pesar de ser mencionado, estar vinculado o condenado • Reconoce solo algunos hechos en los que es señalado • Reconoce solo los hechos en los que se encuentra vinculado • Reconoce los hechos en los que es señalado y en los que se encuentra vinculado • Reconoce los hechos en los que es señalado y en los que se encuentra vinculado • Reconoce los hechos en los que es señalado y aporta sobre otros hechos desconocidos • Reconoce los hechos en los que es señalado y aporta información sobre hechos de los que tiene conocimiento","El reconocimiento responde a las preguntas y necesidades de las víctimas • Reconoce a las víctimas sin lugar a distinciones que generen revictimizaciones c. Reconocimiento de verdad • No reconoce los hechos a pesar de ser mencionado, estar vinculado o condenado • Reconoce solo algunos hechos en los que es señalado • Reconoce solo los hechos en los que se encuentra vinculado • Reconoce los hechos en los que es señalado y en los que se encuentra vinculado • Reconoce los hechos en los que es señalado y en los que se encuentra vinculado • Reconoce los hechos en los que es señalado y aporta sobre otros hechos desconocidos • Reconoce los hechos en los que es señalado y aporta información sobre hechos de los que tiene conocimiento",• El reconocimiento responde a las preguntas y necesidades de las víctimas • Reconoce a las víctimas sin lugar a distinciones que generen revictimizac
