doc,seccion,corpus_type,chars,y1_ebi,y10_rep_v5
RC_01_2022_Norte_Santander,CALIFICACION_JURIDICA,B,54422,0.2063177526518242,0.5733576642335775
RC_01_2022_Norte_Santander,CONSIDERACIONES,B,3648,0.0,0.515625
RC_01_2022_Norte_Santander,PATRONES_MACROCRIMINALES,B,87023,1.1545974101135792,0.2927101967799646
RC_03_2022_Costa_Caribe,HECHOS_Y_CONDUCTAS,B,42897,0.34655722754217966,0.32073170731707346
RC_03_2022_Costa_Caribe,RECONOCIMIENTO,B,482101,0.6125317980988085,0.503330411919377
RC_03_2022_Costa_Caribe,SANCIONES_PROPIAS,B,219952,0.23373379326751517,0.4697680412371114
RC_03_2022_Costa_Caribe,CALIFICACION_JURIDICA,B,89501,0.5933171497929458,0.34895
RC_03_2022_Costa_Caribe,CONSIDERACIONES,B,3304,0.0,0.5344827586206896
RC_03_2022_Costa_Caribe,PATRONES_MACROCRIMINALES,B,10118,0.4639175257731959,0.4285714285714285
informe-avances-resultados-JEP-2024,CUERPO,B,810,0.0,0.0
informe-avances-resultados-JEP-2024,RECONOCIMIENTO,B,81341,0.11304757418747056,0.168221393034826
informe-avances-resultados-JEP-2024,SANCIONES_PROPIAS,B,32666,0.22327889187512923,0.09965034965034963
informe-avances-resultados-JEP-2024,HECHOS_Y_CONDUCTAS,B,38448,0.3656678517013713,0.15782122905027926
informe-avances-resultados-JEP-2024,CALIFICACION_JURIDICA,B,11955,0.0,0.0
sentencia-TP-SeRVR-RC-ST-001-2025-caso01-farc,RECONOCIMIENTO,B,992259,0.007653523642003074,0.29931326709527195
sentencia-TP-SeRVR-RC-ST-001-2025-caso01-farc,PATRONES_MACROCRIMINALES,B,7609,0.0,0.0
sentencia-TP-SeRVR-RC-ST-001-2025-caso01-farc,CALIFICACION_JURIDICA,B,37323,0.0,0.48375984251968573
sentencia-TP-SeRVR-RC-ST-001-2025-caso01-farc,HECHOS_Y_CONDUCTAS,B,20028,0.0,0.5515463917525774
sentencia-TP-SeRVR-RC-ST-001-2025-caso01-farc,SANCIONES_PROPIAS,B,311001,0.0033014922745080778,0.44246905089408245
sentencia-TP-SeRVR-RC-ST-001-2025-caso03-catatumbo-compressed,RECONOCIMIENTO,B,863775,0.00865689096114271,0.2240637107189006
sentencia-TP-SeRVR-RC-ST-001-2025-caso03-catatumbo-compressed,PATRONES_MACROCRIMINALES,B,2199,0.0,0.0
sentencia-TP-SeRVR-RC-ST-001-2025-caso03-catatumbo-compressed,CALIFICACION_JURIDICA,B,14903,0.0,0.26186131386861305
sentencia-TP-SeRVR-RC-ST-001-2025-caso03-catatumbo-compressed,HECHOS_Y_CONDUCTAS,B,8053,0.0,0.19999999999999998
sentencia-TP-SeRVR-RC-ST-001-2025-caso03-catatumbo-compressed,SANCIONES_PROPIAS,B,223170,0.0044603033006244425,0.30395522388059604
sentencia-interpretativa-SENIT-8-2025-reparacion,CUERPO,B,2319,0.0,0.23214285714285715
sentencia-interpretativa-SENIT-8-2025-reparacion,HECHOS_Y_CONDUCTAS,B,29148,0.07178464606181456,0.13183060109289615
sentencia-interpretativa-SENIT-8-2025-reparacion,SANCIONES_PROPIAS,B,289661,0.04214566968084054,0.1723288381742734
sentencia-interpretativa-SENIT-8-2025-reparacion,CONSIDERACIONES,B,13295,0.22453222453222452,0.18597560975609753
sentencia-interpretativa-SENIT-8-2025-reparacion,RECONOCIMIENTO,B,66531,0.0,0.2361825192802057
sentencia-interpretativa-SENIT-8-2025-reparacion,CALIFICACION_JURIDICA,B,26076,0.0,0.1544943820224719
sentencia-interpretativa-SENIT-8-2025-reparacion,PATRONES_MACROCRIMINALES,B,44779,0.20671175194589766,0.1257978723404255
sentencia-interpretativa-SENIT-8-2025-reparacion,RESUELVE,B,5932,0.0,0.18359375
