audiencia,video_url,speaker_diar,inicio,fin,tiempo_total_s,identidad,rol,batallon,evidencia_identificacion,confianza,uso,muestra_texto
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,05:54:48,06:01:58,430,Angel Fernando Carvajal Rojas,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,06:02:12,06:08:50,398,Ricardo Andres Lopez Garcia,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_03,06:09:05,06:18:31,566,Jair Arias Sanchez,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_05,06:18:46,06:28:15,569,Julian Andres Calderon Motta,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_03,06:28:43,06:39:18,635,Fernando Riveros Sarmiento,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_05,06:39:36,06:43:43,247,Jose Yati Anacona Bueno,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_04,06:44:00,06:50:40,400,Jose Roldan Lopez Ceron,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,06:50:55,06:58:44,469,Francisco Javier Castañeda Alfaro,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_03,06:59:14,07:02:10,176,Annuar Herrera Osorio,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,07:02:23,07:06:49,266,Jose Albeiro Bustos Aguilar,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_04,07:07:01,07:09:21,140,Hernando Mendez Rodriguez,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_05,07:09:32,07:14:25,293,Jose David Restrepo Solarte,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_06,07:14:40,07:21:33,413,Luis Carlos Oyola Tapia,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,07:21:46,07:30:33,527,Cesar Augusto Vasquez Ordoñez,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_06,07:30:58,07:33:16,138,Harbey Sanchez Gomez,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_03,07:33:37,07:36:59,202,Jose Gañan Tapasco,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,07:37:14,07:41:55,281,Wilder Samboni Chanchi,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_05,07:42:10,07:48:12,362,Fabio Nelson Rodriguez Barrera,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_07,07:48:21,07:51:35,194,Jose Fabio Guzman Muñoz,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_04,07:51:53,07:56:27,274,Divar Juspian Jimenez,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,07:57:08,08:03:48,400,Angela Maria Buitrago,MINISTRA,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_00,08:35:45,08:36:44,59,Fabian Camilo Martinez Guerrero,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,08:36:44,08:45:32,528,Alejandra Ballesteros,REPRESENTANTE_VICTIMAS,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_04,08:46:02,08:50:01,239,Oscar Fernando Sierra,REPRESENTANTE_VICTIMAS,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,08:51:07,08:56:52,345,Gloria Orcue,REPRESENTANTE_VICTIMAS,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,08:57:15,09:07:20,605,Ricardo Andres Lopez Garcia,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_03,09:07:48,09:15:20,452,Jose David Restrepo Solarte,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,09:15:42,09:25:25,583,Claudia Rocio Saldaña Montoya,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_05,09:25:40,09:36:35,655,Jose Miller Hormiga,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_13,09:36:56,09:47:45,649,Video victimas Huila,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_04,09:48:29,09:57:16,527,Alejandro Ramelli Arteaga,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_00,09:57:55,10:02:24,269,Acto simbolico poema victima,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_04,10:02:50,10:17:45,895,Actos simbolicos victimas,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_05,10:18:20,10:30:48,748,Entrega de cartas a magistratura,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
